Name,COUNT,Failure,500 %,520 %,521 %,400 %
WebTransaction/RestWebService/v2/store/usingTill/{tillId} (GET),8508,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/{version:v(1|1.1)}/store/login (GET),3406,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/integrations/customer/upsert (POST),1893,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/coupon/get (GET),1651,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/organization/get (GET),1311,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/api/store/getissue (POST),1282,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/{version:v(1|1.1)}/store/configurations (GET),1279,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/organization/configs (POST),1244,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/feed (POST),1153,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/customers (POST),911,0.21953896816684962,0.0,0.0,0.21953896816684962,0.0
WebTransaction/RestWebService/v1.1/coupon/redeem (POST),699,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/points/validationcode (GET),529,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/{version:v(1|1.1)}/store/get (GET),507,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/coupon/issue (POST),494,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/organization/configs (GET),444,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/request/add (POST),407,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/{version:v(1|1.1)}/task/metadata (GET),386,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/{version:v(1|1.1)}/store/tasks (GET),380,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/api/loyalty/getcustomfieldsdatadelta (GET),368,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/points/redeem (POST),366,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/points/isredeemable (GET),366,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/coupon/isredeemable (GET),215,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/communications/sms (POST),176,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/coupon/series (GET),166,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/cardNumber (GET),161,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/organization/entities (GET),104,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/api/loyalty/getcustomersdelta (GET),100,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/organization/programs (GET),94,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/extendedFields (GET),57,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/{version:v(1|1.1)}/store/reports (GET),54,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/organization/triggers (POST),42,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/bulk/getCustomers (POST),37,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/org/extendedFields (GET),36,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/entity/extendedFieldConfig (GET),36,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/transaction/get (GET),33,0.0,0.0,0.0,0.0,0.0
