Name,COUNT,Failure,500 %,520 %,521 %,400 %
WebTransaction/RestWebService/v1.1/transaction/get (GET),44971,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/coupon/isredeemable (GET),21749,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/communications/sms (POST),9317,0.04293227433723302,0.04293227433723302,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/coupon/redeem (POST),9106,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/organization/get (GET),5234,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/{version:v(1|1.1)}/store/configurations (GET),5151,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/api/loyalty/getcustomfieldsdatadelta (GET),2679,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/organization/configs (GET),2120,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/points/validationcode (GET),1884,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/api/store/getissue (POST),1246,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/points/redeem (POST),1233,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/organization/configs (POST),1144,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/request/add (POST),937,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/points/isredeemable (GET),808,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/coupon/issue (POST),541,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/{version:v(1|1.1)}/store/login (GET),537,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/api/loyalty/getcustomersdelta (GET),374,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/{version:v(1|1.1)}/store/tasks (GET),306,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/{version:v(1|1.1)}/task/metadata (GET),297,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/otp/generate (POST),257,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/otp/validate (POST),248,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/organization/entities (GET),163,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/org/{orgId}/sources (GET),158,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/product/attribute_values (GET),101,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/card (POST),100,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/customers (POST),98,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/{version:v(1|1.1)}/store/get (GET),97,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/internal/organization/{orgId}/extended_fields (GET),96,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/card/generate (POST),95,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/communications/email (POST),61,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/organization/programs (GET),58,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/internal/organization/{orgId}/customFields (GET),46,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/entity/extendedFieldConfig (GET),45,0.0,0.0,0.0,0.0,0.0
WebTransaction/Servlet/jerseyServlet,44,100.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/org/extendedFields (GET),38,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/organization/triggers (POST),38,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/org/extendedFieldsMeta (GET),35,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/transaction/update (POST),33,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/api/loyalty/getcustomfieldsdata (GET),32,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/integrations/customers/push_notifications (GET),32,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/request/approve (POST),31,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/product/add (POST),29,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/coupon/get (GET),28,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/points/isTransferrable (POST),23,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/points/reverse (POST),23,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/api/campaigns/vouchersdelta (GET),23,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/{version:v(1|1.1)}/store/reports (GET),23,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/usergroups (POST),21,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/usergroups/{id} (GET),21,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/points/transfer (POST),20,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/usergroups/{id}/members/{userId} (POST),19,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/coupon/resend (GET),18,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/product/brands (POST),15,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/survey/questions (POST),14,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/leads (POST),14,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/organization/store_associate/{store_id} (GET),14,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/extendedFields (GET),13,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/product/categories (POST),13,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/internal/bulk/extended_fields (POST),12,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/survey (POST),12,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/internal/bulk/solr_delete/{orgId} (POST),12,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/ecrm/wishList (POST),12,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/bulk/getCustomers (POST),11,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/user_auth/authorize_user (POST),10,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/verticals (POST),10,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/ecrm/contact (POST),9,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/verticals/{id} (DELETE),9,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/staff (POST),6,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/product/meta_sizes (GET),6,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/entity/extendedFields (GET),6,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/{version:v(1|1.1)}/task/get (GET),6,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/product/get (GET),6,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/user_auth/register (POST),6,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/product/attributes (POST),6,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/leads/{id}/status (PUT),6,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/{version:v(1|1.1)}/tenders/attributes (GET),5,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/internal/bulk/commchannels (POST),5,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/survey/responses (POST),5,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/survey (GET),4,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/feed (POST),4,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v1.1/coupon/series (GET),4,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/product (GET),3,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/organization/labels (POST),3,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/leads/reasons (POST),3,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/events (POST),3,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/ecrm/contact/{id} (GET),3,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/customer/walkin (GET),3,0.0,0.0,0.0,0.0,0.0
WebTransaction/RestWebService/v2/orgEntity/associate (POST),3,0.0,0.0,0.0,0.0,0.0
